image_id,year,month,day,final_date
503,2026,2,18,2026-02-18
516,2026,7,16,2026-07-16
522,2026,2,21,2026-02-21
538,2026,2,6,2026-02-06
545,2027,7,9,2027-07-09
553,2028,10,24,2028-10-24
566,2026,9,17,2026-09-17
574,2026,2,24,2026-02-24
580,2026,2,28,2026-02-28
591,2026,7,27,2026-07-27
604,2026,9,15,2026-09-15
616,2026,9,10,2026-09-10
629,2025,9,22,2025-09-22
637,2026,6,17,2026-06-17
643,2026,1,21,2026-01-21
648,2026,8,25,2026-08-25
653,2027,1,19,2027-01-19
663,2026,2,10,2026-02-10
673,2026,6,2,2026-06-02
682,2026,1,25,2026-01-25
686,2025,10,12,2025-10-12
697,2025,10,7,2025-10-07
703,2026,1,25,2026-01-25
715,2026,6,26,2026-06-26
719,2026,4,4,2026-04-04
722,2026,8,4,2026-08-04
735,2027,1,12,2027-01-12
740,2026,7,23,2026-07-23
752,2026,7,9,2026-07-09
762,2026,8,2,2026-08-02
770,2030,4,NONE,2030-04-NONE
777,2026,3,NONE,2026-03-NONE
789,NONE,12,19,NONE-12-19
795,2026,7,14,2026-07-14
803,2026,9,13,2026-09-13
811,2026,3,31,2026-03-31
824,NONE,12,19,NONE-12-19
832,2026,7,16,2026-07-16
839,2026,1,3,2026-01-03
843,2026,6,17,2026-06-17
844,2026,3,7,2026-03-07
848,2026,5,21,2026-05-21
850,2026,8,9,2026-08-09
851,2026,8,9,2026-08-09
853,2026,9,24,2026-09-24
859,2021,10,20,2021-10-20
862,2021,10,22,2021-10-22
864,2023,3,4,2023-03-04
877,2023,4,3,2023-04-03
880,2021,5,11,2021-05-11
892,2022,2,7,2022-02-07
905,2022,1,NONE,2022-01-NONE
910,2021,9,20,2021-09-20
913,2021,10,19,2021-10-19
916,2022,6,6,2022-06-06
919,2022,3,11,2022-03-11
920,2022,3,11,2022-03-11
933,2021,5,26,2021-05-26
949,2021,10,24,2021-10-24
953,2021,2,5,2021-02-05
955,2022,1,25,2022-01-25
965,2020,7,24,2020-07-24
977,2021,11,3,2021-11-03
983,2021,8,20,2021-08-20
994,NONE,2,18,NONE-02-18
1000,2021,9,7,2021-09-07
1009,2022,11,24,2022-11-24
1016,2021,2,21,2021-02-21
1028,2021,7,7,2021-07-07
1030,2022,10,NONE,2022-10-NONE
1035,2021,7,10,2021-07-10
1042,2021,9,13,2021-09-13
1056,2022,5,27,2022-05-27
1067,2021,12,6,2021-12-06
1070,2024,1,NONE,2024-01-NONE
1071,2024,1,NONE,2024-01-NONE
1087,2022,6,14,2022-06-14
1095,2022,1,12,2022-01-12
1103,2021,3,14,2021-03-14
1116,2022,1,12,2022-01-12
1123,2021,10,9,2021-10-09
1131,NONE,2,12,NONE-02-12
1142,2021,1,21,2021-01-21
1155,2021,9,21,2021-09-21
1172,2021,9,NONE,2021-09-NONE
1180,2023,9,1,2023-09-01
1183,2021,10,8,2021-10-08
1191,2020,12,8,2020-12-08
1199,2021,10,20,2021-10-20
1220,2021,1,14,2021-01-14
1227,2021,1,12,2021-01-12
1239,2020,12,19,2020-12-19
1270,2021,10,11,2021-10-11
1311,2022,10,20,2022-10-20
1336,2021,10,26,2021-10-26
1388,2021,7,17,2021-07-17
1404,2021,1,27,2021-01-27
1413,2021,7,23,2021-07-23
1548,2022,9,28,2022-09-28
1556,2022,3,16,2022-03-16
1658,2021,10,22,2021-10-22
1673,2021,5,19,2021-05-19
1675,2021,3,15,2021-03-15
1677,2021,11,28,2021-11-28
1679,2021,3,16,2021-03-16
1681,2022,10,22,2022-10-22
1682,2022,10,22,2022-10-22
1684,2021,11,14,2021-11-14
1685,2021,11,29,2021-11-29
1686,2020,11,27,2020-11-27
1689,2021,7,21,2021-07-21
1695,2022,7,1,2022-07-01
1697,2022,6,23,2022-06-23
1701,2021,10,27,2021-10-27
1703,2021,7,16,2021-07-16
1706,2021,6,4,2021-06-04
1710,2021,10,15,2021-10-15
1711,2021,10,15,2021-10-15
1714,2021,8,9,2021-08-09
1716,2021,2,7,2021-02-07
1718,2021,2,8,2021-02-08
1720,2021,3,11,2021-03-11
1721,2021,7,6,2021-07-06
1723,2021,5,13,2021-05-13
1728,2021,2,8,2021-02-08
1730,2021,10,2,2021-10-02
1733,2022,11,18,2022-11-18
1734,2022,1,20,2022-01-20
1737,2021,2,8,2021-02-08
1739,2022,1,5,2022-01-05
1741,2022,11,1,2022-11-01
1745,2022,1,28,2022-01-28
1747,2021,10,12,2021-10-12
1749,2019,7,3,2019-07-03
1751,2021,6,28,2021-06-28
1752,2022,1,10,2022-01-10
1755,2021,12,5,2021-12-05
1757,2023,3,9,2023-03-09
1760,2021,4,24,2021-04-24
1766,2021,9,10,2021-09-10
1768,2021,6,29,2021-06-29
1771,2019,10,18,2019-10-18
1773,2020,8,7,2020-08-07
1784,2021,6,13,2021-06-13
1785,2021,9,19,2021-09-19
1793,2021,11,7,2021-11-07
1799,2021,10,14,2021-10-14
1800,2021,1,14,2021-01-14
1802,2021,5,3,2021-05-03
1806,2020,11,9,2020-11-09
1819,2022,1,18,2022-01-18
1823,2021,6,9,2021-06-09
1828,2021,11,28,2021-11-28
1830,2020,12,NONE,2020-12-NONE
1837,2021,10,2,2021-10-02
1839,2021,10,15,2021-10-15
1845,2021,11,23,2021-11-23
1852,2022,8,18,2022-08-18
1855,2023,10,28,2023-10-28
1858,2022,7,17,2022-07-17
1860,2022,7,8,2022-07-08
1862,2023,6,23,2023-06-18
1867,2022,7,NONE,2022-07-NONE
1868,2022,7,NONE,2022-07-NONE
1870,2020,11,26,2020-11-26
1882,2021,6,20,2021-06-20
1884,2021,9,9,2021-09-09
1886,2021,12,5,2021-12-05
1888,2023,8,22,2023-08-22
1892,2022,5,22,2022-05-22
1896,2021,3,17,2021-03-17
1898,2021,5,29,2021-05-29
1900,2021,11,29,2021-11-29
1905,2022,1,15,2022-01-15
1906,2020,9,3,2022-09-03
1910,2021,5,7,2021-05-07
1912,2021,5,21,2021-05-21
1916,2021,6,24,2021-06-24
1919,2023,12,20,2023-12-20
1923,2022,6,14,2022-06-14
1925,2022,1,21,2022-01-21
1927,2021,4,27,2021-04-27
1932,2022,1,22,2022-01-22
1936,2021,12,21,2021-12-21
1938,2021,3,NONE,2021-03-NONE
1940,2021,3,14,2021-03-14
1941,2022,5,27,2022-05-27
1943,2023,9,29,2023-09-29
1944,2023,9,29,2023-09-29
1947,2022,8,10,2022-08-10
1948,2022,8,10,2022-08-10
1953,2021,10,NONE,2021-10-NONE
1964,2021,10,9,2021-10-09
1971,2021,6,18,2021-06-18
1973,2023,3,15,2023-03-15
1975,2021,2,26,2021-02-26
1979,2020,11,4,2020-11-04
1983,2021,10,20,2021-10-20
1988,2021,12,28,2021-12-28
1992,2021,12,28,2021-12-28
1996,2021,12,18,2021-12-18
2008,2022,1,14,2022-01-14
2009,2021,12,2,2021-12-02
2012,2020,6,30,2020-06-30
2015,2023,6,28,2023-06-28
2022,2022,4,9,2022-04-09
2026,2020,1,3,2020-01-03
2030,2019,11,18,2019-11-18
2033,2022,3,22,2022-03-22
2042,2020,8,27,2020-08-27
2048,2021,7,31,2021-07-31
2051,NONE,4,14,NONE-04-14
2055,2021,12,NONE,2021-12-NONE
2063,2023,2,NONE,2023-02-NONE
2067,2020,4,30,2020-04-30
2068,2022,9,11,2022-09-11
2078,2020,10,21,2020-10-21
2088,2021,9,3,2021-09-03
2097,2022,6,16,2022-06-16
2098,2021,5,25,2021-05-25
2125,2021,4,21,2021-04-21
2135,2022,11,2,2022-11-02
2146,2022,7,26,2022-07-26
2148,2022,1,3,2022-01-03
2152,2019,7,11,2021-07-19
2157,2021,12,25,2021-12-25
2159,NONE,4,13,NONE-04-13
2186,2020,6,10,2020-06-10
2189,2022,2,4,2022-02-04
2192,2020,10,20,2020-10-20
2194,2020,6,10,2020-06-10
2197,2021,1,13,2021-01-13
2202,2020,10,8,2020-10-08
2209,2022,5,31,2022-05-31
2211,2023,3,20,2023-03-20
2214,2020,10,16,2020-10-16
2217,2023,5,NONE,2023-05-NONE
2220,2019,9,30,2019-09-30
2227,2023,3,3,2023-03-03
2233,2023,1,21,2023-01-21
2241,2021,5,26,2021-05-26
2260,2022,12,15,2022-12-15
2265,NONE,3,5,NONE-03-05
2272,2021,8,2,2021-08-02
2281,2022,7,NONE,2022-07-NONE
2284,2021,1,7,2021-01-07
2287,2021,12,31,2021-12-31
2303,2022,2,3,2022-02-03
2307,2021,11,15,2021-11-15
2310,NONE,3,13,NONE-03-13
2324,2020,9,6,2020-09-06
2326,2022,10,23,2022-10-23
2336,2021,11,19,2021-11-19
2345,NONE,2,12,NONE-02-12
2356,2021,2,12,2021-02-12
2358,2021,10,10,2021-10-10
2376,2019,10,28,2019-10-28
2382,2021,8,17,2021-08-17
2386,2019,8,18,2019-08-18
2408,2022,10,29,2022-10-29
2410,2022,4,NONE,2022-04-NONE
2416,2021,12,25,2021-12-25
2418,2023,5,10,2023-05-10
2421,2020,10,23,2020-10-23
2427,2021,1,18,2021-01-18
2428,2020,12,23,2020-12-23
2437,2020,9,13,2020-09-13
2448,2021,2,4,2021-02-02
2455,2023,2,NONE,2023-02-NONE
2458,2022,4,NONE,2022-04-NONE
2459,2021,11,30,2021-11-30
2464,2022,5,NONE,2022-05-NONE
2466,2022,1,20,2022-01-20
2469,2023,6,22,2023-06-22
2472,2021,3,18,2021-03-18
2483,2021,5,5,2021-05-05
2498,2021,5,7,2021-05-07
2508,2021,11,9,2021-11-09
2515,2022,2,16,2022-02-16
2517,2022,7,20,2022-07-20
2519,2023,1,25,2023-01-25
2521,2023,10,1,2023-10-01
2523,2022,9,14,2022-09-14
2524,2023,1,15,2023-01-15
2525,2023,1,25,2023-01-25
2527,2023,2,15,2023-02-15
2536,2021,9,22,2021-09-22
2538,2021,8,5,2021-08-05
2541,2021,12,19,2021-12-19
2543,2021,10,17,2021-10-17
2552,2022,1,22,2022-01-22
2570,2021,5,7,2021-05-07
2572,2021,12,29,2021-12-29
2578,2024,1,14,2024-01-14
2581,2021,11,17,2021-11-17
2584,2023,11,4,2023-11-04
2586,2022,12,NONE,2022-12-NONE
2588,2023,10,15,2023-10-15
2589,2023,10,15,2023-10-15
2597,2022,10,22,2022-10-22
2604,2023,11,17,2023-11-17
2609,2022,1,17,2022-01-17
2610,2021,7,11,2021-07-11
2613,2023,4,NONE,2023-04-NONE
2626,2021,6,22,2021-06-22
2639,2021,12,4,2021-12-04
2640,2021,12,4,2021-12-04
2649,2021,7,1,2021-07-01
2657,2001,7,1,2001-07-01
2664,2021,8,18,2021-08-18
2665,2021,3,26,2021-03-26
2678,2021,8,4,2021-08-04
2683,2021,12,3,2021-12-03
2704,2022,10,29,2022-10-29
2706,2021,12,7,2021-12-07
2716,2021,12,15,2021-12-15
2731,2021,4,18,2021-04-18
2734,2022,2,4,2022-02-04
2738,2021,6,5,2021-06-05
2742,2021,8,13,2021-08-13
2744,2021,1,10,2021-01-10
2745,2024,4,6,2024-04-06
2746,2022,1,8,2022-01-08
2749,2020,12,NONE,2020-12-NONE
2766,2021,3,16,2021-03-16
2773,2024,5,NONE,2024-05-NONE
2829,2022,2,1,2022-02-01
2883,2023,12,8,2023-12-08
2887,2022,1,4,2022-01-04
2928,NONE,4,8,NONE-04-08
2956,2021,1,2,2021-01-02
2999,2021,10,7,2021-10-07
3011,2021,12,11,2021-12-11
3016,2022,7,1,2022-07-01
3019,2021,11,13,2021-11-13
3060,2021,10,4,2021-10-04
3070,2020,8,9,2020-08-09
3103,2022,3,29,2022-03-29
3110,2021,6,9,2021-06-09
3115,2021,9,25,2021-09-25
3125,2021,3,7,2021-03-07
3127,2021,2,16,2021-02-16
3131,2022,3,30,2022-03-30
3138,2022,1,9,2022-01-09
3142,2021,12,11,2021-12-11
3147,2021,4,22,2021-04-22
3171,2021,11,11,2021-11-11
3174,2022,8,13,2022-08-13
3186,2021,10,21,2021-10-21
3192,2021,11,19,2021-11-19
3194,2021,7,13,2021-07-13
3201,2022,9,21,2022-09-21
3203,2021,10,NONE,2021-10-NONE
3223,2022,7,14,2022-07-14
3224,2021,8,21,2021-08-21
3228,2022,4,26,2022-04-26
3238,2021,10,16,2021-10-16
3239,2021,11,6,2021-11-06
3245,2021,9,20,2021-09-20
3321,2021,9,1,2021-09-01
3332,2021,4,29,2021-04-29
3351,2025,12,10,2025-12-10
